epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0857,1.73038,7.20321,0.71599,2.44593,1.65562,0.56092,0.6549,0.59876,0.32944,0.00643,0.03922,0.00208,0.0003,1.41052,7.28897,0.70883,1.67373,1.39613,0.00062,0.00062,0.00062
2,18.0021,1.4618,6.13368,0.73231,1.29655,1.39605,0.59255,0.6,0.54294,0.27883,0.17178,0.15686,0.0419,0.00747,1.65489,6.28805,0.76268,2.12788,1.6926,0.00125501,0.00125501,0.00125501
3,21.6505,1.51411,5.36907,0.72966,1.30069,1.43877,0.58791,0.50196,0.5234,0.25557,0.25697,0.30588,0.16338,0.03082,1.60637,5.26413,0.72887,2.66736,1.58277,0.00188495,0.00188495,0.00188495
4,25.1994,1.45809,4.77573,0.7069,1.22539,1.40572,0.58091,0.59216,0.59177,0.31056,0.29152,0.39608,0.19708,0.03814,1.59057,5.02458,0.67737,1.65554,1.54786,0.00197624,0.00197624,0.00197624
5,29.2432,1.47154,4.59071,0.68857,1.2542,1.41626,0.25814,0.54902,0.24402,0.10392,0.13064,0.26667,0.06736,0.01651,1.73137,5.07568,0.64872,3.41727,1.74179,0.00196832,0.00196832,0.00196832
6,33.188,1.42371,4.29025,0.66933,1.25402,1.39558,0.67934,0.68956,0.71375,0.38369,0.45359,0.48235,0.33626,0.08321,1.47314,4.60006,0.60248,2.11408,1.4631,0.0019604,0.0019604,0.0019604
7,37.3366,1.4135,4.10978,0.65399,1.22709,1.37102,0.62973,0.7098,0.65806,0.37437,0.49667,0.55686,0.40802,0.11453,1.39465,3.71294,0.57271,1.95218,1.42231,0.00195248,0.00195248,0.00195248
8,41.4939,1.40816,3.93482,0.66161,1.23058,1.38268,0.71541,0.68627,0.74195,0.44092,0.5821,0.53725,0.52817,0.17444,1.34863,3.58718,0.55582,1.55961,1.36175,0.00194456,0.00194456,0.00194456
9,43.918,1.38884,3.77804,0.65493,1.14232,1.36217,0.77887,0.67683,0.74438,0.43683,0.5825,0.56903,0.499,0.18769,1.38254,3.54367,0.56487,1.31769,1.33973,0.00193664,0.00193664,0.00193664
10,48.1035,1.36906,3.60942,0.65471,1.17402,1.34898,0.7305,0.66968,0.76255,0.45573,0.63883,0.60392,0.60357,0.21834,1.33132,3.3699,0.54774,1.34737,1.33809,0.00192872,0.00192872,0.00192872
11,52.2063,1.38012,3.64205,0.65109,1.15498,1.37755,0.75059,0.73333,0.7734,0.4752,0.60786,0.58356,0.53373,0.20001,1.33153,3.65918,0.5611,1.12905,1.38234,0.0019208,0.0019208,0.0019208
12,57.064,1.3242,3.68646,0.64936,1.16302,1.35293,0.80816,0.70588,0.8116,0.49354,0.7261,0.61176,0.63074,0.21844,1.35028,3.17197,0.5482,1.12221,1.36036,0.00191288,0.00191288,0.00191288
13,61.396,1.32563,3.60225,0.64491,1.10915,1.32061,0.72213,0.60784,0.67789,0.43079,0.63982,0.56471,0.55562,0.21768,1.30335,3.18459,0.55129,1.36119,1.3424,0.00190496,0.00190496,0.00190496
14,65.4883,1.29852,3.48148,0.64256,1.0982,1.32632,0.7674,0.72941,0.78555,0.49748,0.80255,0.67059,0.73619,0.30434,1.32388,2.87324,0.54535,1.1709,1.36222,0.00189704,0.00189704,0.00189704
15,69.8504,1.27071,3.34888,0.64223,1.10098,1.30338,0.83486,0.79301,0.86993,0.55963,0.77545,0.71373,0.73794,0.33513,1.22456,2.74366,0.53239,0.9565,1.26497,0.00188912,0.00188912,0.00188912
16,74.0118,1.24274,3.25868,0.63419,1.03189,1.26996,0.86613,0.83137,0.90464,0.58466,0.76771,0.73333,0.72724,0.3108,1.19088,2.71005,0.53397,1.00778,1.24114,0.0018812,0.0018812,0.0018812
17,77.0488,1.21931,3.1447,0.64275,0.9975,1.26777,0.83425,0.7895,0.87507,0.58316,0.74603,0.69412,0.68643,0.26833,1.16187,3.10324,0.53217,0.91914,1.24292,0.00187328,0.00187328,0.00187328
18,81.3369,1.24958,3.21354,0.64257,1.02388,1.29164,0.81924,0.79608,0.83773,0.54798,0.76814,0.72941,0.71154,0.29898,1.21448,2.84389,0.54641,1.09436,1.28161,0.00186536,0.00186536,0.00186536
