epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7177,1.95968,7.36786,0.71914,3.43292,1.87066,0.53399,0.65753,0.61129,0.32659,0.01461,0.0137,0.00152,0.00019,1.42515,7.48181,0.70748,3.18282,1.38998,0.00032,0.00032,0.00032
2,20.166,1.4625,6.62597,0.7249,1.3778,1.39319,0.70326,0.59589,0.69655,0.34349,0.01583,0.04795,0.00341,0.00038,1.54315,7.21282,0.70845,1.98966,1.49812,0.000655644,0.000655644,0.000655644
3,23.1009,1.47989,6.02969,0.74122,1.26174,1.36393,0.6485,0.57534,0.61772,0.27094,0.15076,0.19178,0.06766,0.00857,1.9199,6.15273,0.74896,2.09004,1.89971,0.0009868,0.0009868,0.0009868
4,25.4528,1.47519,5.43817,0.74988,1.23196,1.39101,0.36758,0.60274,0.31177,0.12781,0.14227,0.24768,0.05062,0.00887,1.87187,5.81047,0.77984,2.18827,1.81089,0.00131347,0.00131347,0.00131347
5,27.8078,1.45096,4.93689,0.73486,1.19341,1.37752,0.57519,0.56849,0.60751,0.3475,0.22577,0.30822,0.13178,0.0302,1.52393,5.35642,0.75661,1.68126,1.60093,0.00163565,0.00163565,0.00163565
6,30.1459,1.47728,4.73361,0.72352,1.22508,1.4299,0.51966,0.65753,0.6232,0.33692,0.24283,0.24658,0.11594,0.0247,1.61194,5.46115,0.77042,1.86028,1.65043,0.001934,0.001934,0.001934
7,32.7012,1.49536,4.62762,0.71119,1.26888,1.42673,0.4375,0.63014,0.49178,0.2566,0.20024,0.34932,0.11826,0.02792,1.60355,4.9549,0.7307,2.21909,1.66702,0.0019208,0.0019208,0.0019208
8,35.62,1.48642,4.31861,0.68902,1.23647,1.4142,0.58925,0.68493,0.64749,0.35334,0.41876,0.454,0.33476,0.08143,1.51818,4.27575,0.68373,1.58953,1.50408,0.0019076,0.0019076,0.0019076
9,37.821,1.41433,4.05499,0.68142,1.18172,1.39403,0.69522,0.73288,0.68949,0.3677,0.50164,0.57534,0.39892,0.13188,1.51753,3.85696,0.65881,1.45391,1.53939,0.0018944,0.0018944,0.0018944
10,40.1427,1.41843,4.0709,0.6808,1.15401,1.36701,0.69071,0.71893,0.70275,0.38355,0.54594,0.56824,0.47403,0.14484,1.49467,3.78133,0.61961,1.7328,1.50536,0.0018812,0.0018812,0.0018812
11,44.3828,1.41491,3.84741,0.67452,1.11084,1.36447,0.56315,0.56164,0.55545,0.29019,0.44903,0.39726,0.35658,0.11716,1.57201,3.83842,0.60411,1.62842,1.54772,0.001868,0.001868,0.001868
12,46.7117,1.35052,3.79187,0.6573,1.08766,1.30781,0.78112,0.73328,0.81272,0.44613,0.6441,0.53302,0.52475,0.16585,1.36095,3.69783,0.59033,1.6029,1.37555,0.0018548,0.0018548,0.0018548
13,49.0195,1.3578,3.54579,0.66039,1.09397,1.33012,0.72111,0.68493,0.78582,0.46536,0.67034,0.64069,0.65666,0.24243,1.3094,2.94899,0.56715,1.60615,1.33713,0.0018416,0.0018416,0.0018416
14,51.1234,1.39599,3.49259,0.66233,1.08515,1.37958,0.80746,0.66068,0.77241,0.42624,0.62983,0.52055,0.53621,0.19113,1.48141,3.33728,0.55218,1.44849,1.45911,0.0018284,0.0018284,0.0018284
15,53.38,1.40391,3.56887,0.66893,1.11837,1.37496,0.84904,0.85616,0.86716,0.49368,0.79286,0.80137,0.75578,0.29146,1.27174,2.90852,0.54692,1.2534,1.31729,0.0018152,0.0018152,0.0018152
16,55.8709,1.36184,3.30656,0.65231,1.06979,1.33825,0.81103,0.82308,0.85478,0.52764,0.80371,0.71918,0.75599,0.36335,1.25915,2.64419,0.55845,1.06305,1.29127,0.001802,0.001802,0.001802
17,57.6599,1.32986,3.24722,0.6551,1.05708,1.31082,0.7401,0.79452,0.81608,0.47016,0.70116,0.75342,0.6872,0.2935,1.3717,2.64615,0.55509,1.28025,1.37105,0.0017888,0.0017888,0.0017888
18,59.8224,1.29714,3.14079,0.6457,1.04119,1.29789,0.86425,0.73973,0.86505,0.53233,0.81623,0.69863,0.74727,0.34507,1.26096,2.58723,0.54927,0.99575,1.2738,0.0017756,0.0017756,0.0017756
19,62.3524,1.35019,3.15764,0.65042,1.0708,1.33573,0.82226,0.82192,0.87401,0.54388,0.72842,0.73485,0.72836,0.31992,1.24843,2.76163,0.53833,0.95226,1.27413,0.0017624,0.0017624,0.0017624
20,64.3193,1.31343,3.11364,0.64778,1.02965,1.32819,0.82913,0.78767,0.87501,0.50848,0.75907,0.71918,0.75764,0.29955,1.34022,2.6724,0.52912,1.08164,1.36563,0.0017492,0.0017492,0.0017492
21,66.3793,1.31969,3.16034,0.64467,1.03751,1.32451,0.812,0.79452,0.84042,0.50418,0.79958,0.74658,0.76403,0.31872,1.32788,2.5334,0.5446,1.05636,1.37728,0.001736,0.001736,0.001736
22,68.4023,1.28139,3.01786,0.6525,1.02136,1.30566,0.86078,0.73288,0.8706,0.51848,0.75163,0.72603,0.75886,0.35517,1.30292,2.49605,0.53714,1.03156,1.32822,0.0017228,0.0017228,0.0017228
23,70.5314,1.25002,3.03128,0.6522,1.00569,1.3094,0.87409,0.81507,0.90608,0.53689,0.84251,0.71918,0.80483,0.39329,1.31034,2.44186,0.54081,0.94467,1.31235,0.0017096,0.0017096,0.0017096
24,72.7443,1.24721,2.82089,0.65076,0.9565,1.26737,0.82838,0.85959,0.91723,0.59215,0.778,0.7681,0.79601,0.39215,1.19692,2.46031,0.54333,0.84818,1.26052,0.0016964,0.0016964,0.0016964
25,74.9844,1.24584,2.78871,0.64356,0.97566,1.25786,0.84919,0.83562,0.89432,0.55498,0.76769,0.76959,0.75563,0.35562,1.17728,2.38172,0.54703,0.91304,1.26557,0.0016832,0.0016832,0.0016832
26,80.5218,1.20679,2.73875,0.63874,0.91573,1.24426,0.86425,0.84932,0.89747,0.56849,0.839,0.81507,0.82953,0.41155,1.19077,2.39489,0.55554,0.8706,1.29048,0.00167,0.00167,0.00167
27,82.676,1.24859,2.95439,0.65154,0.95721,1.2539,0.8517,0.76027,0.87606,0.56373,0.81795,0.70782,0.76578,0.34718,1.22783,2.34516,0.54937,0.87913,1.25609,0.0016568,0.0016568,0.0016568
28,84.7798,1.23092,2.79904,0.6488,0.94082,1.25706,0.85572,0.82877,0.87643,0.55923,0.86668,0.78082,0.83623,0.42067,1.20866,2.23625,0.5389,0.95265,1.27124,0.0016436,0.0016436,0.0016436
29,87.2815,1.23544,2.75444,0.6483,0.95569,1.26934,0.827,0.80822,0.8675,0.55636,0.77479,0.80822,0.80724,0.40358,1.26318,2.35308,0.53418,0.89525,1.29957,0.0016304,0.0016304,0.0016304
30,89.9917,1.2188,2.70643,0.64867,0.90105,1.2514,0.85945,0.82877,0.89164,0.58173,0.82645,0.79452,0.82482,0.41477,1.18397,2.27622,0.53902,0.84856,1.26211,0.0016172,0.0016172,0.0016172
31,92.3441,1.22435,2.74353,0.64726,0.91639,1.25275,0.87105,0.83279,0.87181,0.56833,0.84236,0.80137,0.82961,0.43764,1.21932,2.14466,0.54291,0.91528,1.28211,0.001604,0.001604,0.001604
32,94.7684,1.19761,2.61253,0.651,0.91467,1.27046,0.84285,0.80822,0.88927,0.57894,0.80043,0.73288,0.77275,0.44014,1.14563,2.13695,0.54556,0.90983,1.23634,0.0015908,0.0015908,0.0015908
33,96.8999,1.19111,2.53268,0.64928,0.91224,1.25976,0.87841,0.84123,0.90682,0.61714,0.85972,0.80137,0.85923,0.49513,1.12595,1.91813,0.54057,0.82084,1.21148,0.0015776,0.0015776,0.0015776
34,99.1792,1.2026,2.53656,0.63867,0.9073,1.24502,0.91285,0.81507,0.88719,0.54861,0.88906,0.79452,0.8271,0.46465,1.23929,2.16726,0.55422,0.88523,1.25247,0.0015644,0.0015644,0.0015644
35,101.403,1.18309,2.407,0.63408,0.88428,1.22092,0.88925,0.84932,0.89272,0.57968,0.88257,0.82365,0.86257,0.47183,1.1575,2.05092,0.55269,0.89097,1.20884,0.0015512,0.0015512,0.0015512
36,103.865,1.1347,2.49351,0.64367,0.86271,1.2214,0.89132,0.87671,0.9459,0.61356,0.83638,0.84032,0.87702,0.47113,1.19122,1.91341,0.54465,0.83078,1.24136,0.001538,0.001538,0.001538
37,106.147,1.19803,2.46579,0.64218,0.86294,1.23452,0.89646,0.89041,0.92419,0.59478,0.87211,0.84071,0.87975,0.49119,1.24384,1.85749,0.54468,0.80962,1.31548,0.0015248,0.0015248,0.0015248
38,108.549,1.18643,2.35202,0.6362,0.89185,1.26602,0.88671,0.91781,0.93981,0.61455,0.84759,0.87671,0.87874,0.5123,1.23055,1.77312,0.54027,0.76512,1.26205,0.0015116,0.0015116,0.0015116
39,110.964,1.17928,2.50114,0.64442,0.85384,1.21769,0.87642,0.87438,0.94002,0.61278,0.89231,0.80822,0.89255,0.49343,1.19443,1.90066,0.54223,0.78726,1.22722,0.0014984,0.0014984,0.0014984
40,115.607,1.16367,2.36186,0.64237,0.83532,1.21576,0.92352,0.82714,0.9217,0.59314,0.91713,0.82877,0.90003,0.52087,1.19068,1.84026,0.54072,0.88491,1.23837,0.0014852,0.0014852,0.0014852
41,117.6,1.13582,2.36678,0.64148,0.86609,1.22172,0.84617,0.87671,0.91226,0.55771,0.84102,0.86986,0.88937,0.46805,1.23434,1.86335,0.53953,0.86232,1.26907,0.001472,0.001472,0.001472
