epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2234,1.83725,7.33378,0.72381,2.87481,1.69848,0.61389,0.68912,0.6834,0.36344,0.00442,0.01036,0.00137,0.00017,1.2818,7.55459,0.70825,3.15954,1.34267,0.00042,0.00042,0.00042
2,15.8308,1.45744,6.26796,0.73552,1.25676,1.38338,0.63537,0.69948,0.69914,0.37808,0.04405,0.03627,0.00788,0.00091,1.43452,6.64729,0.74758,2.33421,1.55193,0.000855743,0.000855743,0.000855743
3,18.355,1.49155,5.62387,0.74006,1.25525,1.40595,0.75272,0.74127,0.80802,0.45478,0.33873,0.31606,0.18476,0.03869,1.43854,5.41026,0.78119,1.45695,1.52296,0.00128713,0.00128713,0.00128713
4,20.9407,1.4575,5.13215,0.72475,1.22023,1.39725,0.68926,0.65285,0.7007,0.37541,0.32232,0.29819,0.18842,0.03842,1.45644,5.38446,0.78249,2.72768,1.53935,0.00171416,0.00171416,0.00171416
5,23.3425,1.46974,4.79103,0.71479,1.17492,1.39389,0.24938,0.48199,0.22309,0.10606,0.10498,0.20725,0.04631,0.01227,1.65528,5.94917,0.7172,1.94113,1.61715,0.0019604,0.0019604,0.0019604
6,29.4688,1.42543,4.49696,0.70243,1.18082,1.36495,0.46466,0.55317,0.38945,0.20115,0.30373,0.39554,0.19778,0.06463,1.49079,4.80706,0.67562,2.30166,1.49554,0.0019505,0.0019505,0.0019505
7,32.0344,1.46062,4.26267,0.68343,1.18242,1.40708,0.69603,0.64249,0.66406,0.36317,0.32021,0.4715,0.24138,0.06184,1.55332,4.51813,0.63597,1.34601,1.56194,0.0019406,0.0019406,0.0019406
8,34.5212,1.41486,4.1101,0.67202,1.14273,1.3731,0.73049,0.74611,0.77667,0.41884,0.60994,0.62694,0.55594,0.17572,1.49313,3.72165,0.60932,1.07662,1.47627,0.0019307,0.0019307,0.0019307
9,37.3617,1.46266,4.04725,0.65982,1.19735,1.39835,0.71408,0.74611,0.75183,0.42135,0.55144,0.58549,0.48565,0.15545,1.34303,3.48613,0.58209,1.40092,1.39936,0.0019208,0.0019208,0.0019208
10,40.4795,1.41144,3.81553,0.65518,1.15,1.3868,0.71217,0.72021,0.73641,0.41456,0.62832,0.66839,0.64873,0.24638,1.46745,3.12755,0.57867,1.25378,1.49172,0.0019109,0.0019109,0.0019109
11,43.1905,1.35779,3.47725,0.65834,1.08192,1.34137,0.74777,0.72539,0.80347,0.47913,0.66661,0.64767,0.66422,0.26836,1.28949,2.75816,0.55636,1.17247,1.34106,0.001901,0.001901,0.001901
12,45.9419,1.34837,3.52141,0.64685,1.08272,1.31861,0.72568,0.72645,0.77026,0.44375,0.65717,0.6114,0.58241,0.22977,1.34433,3.30556,0.53966,1.12649,1.3684,0.0018911,0.0018911,0.0018911
13,48.8147,1.33592,3.36718,0.65007,1.06248,1.31896,0.84557,0.77202,0.87032,0.54936,0.75374,0.69778,0.69991,0.30343,1.20028,2.75626,0.52025,1.10398,1.28206,0.0018812,0.0018812,0.0018812
14,51.2697,1.31752,3.3926,0.64046,1.06683,1.30598,0.80083,0.8125,0.84438,0.5256,0.72948,0.71503,0.6755,0.30414,1.24559,2.67696,0.51752,1.00572,1.3002,0.0018713,0.0018713,0.0018713
15,54.1794,1.3103,3.30143,0.64568,1.03129,1.33776,0.89548,0.81865,0.89211,0.55624,0.8078,0.72539,0.72036,0.30656,1.16629,2.98912,0.52823,0.95049,1.30616,0.0018614,0.0018614,0.0018614
16,56.9536,1.29791,3.16117,0.6378,1.00871,1.30876,0.7987,0.80177,0.85775,0.55721,0.78627,0.76684,0.78758,0.34993,1.22302,2.35296,0.51463,0.98028,1.29626,0.0018515,0.0018515,0.0018515
17,59.2428,1.27793,3.0793,0.63669,0.9926,1.28912,0.90682,0.80311,0.89442,0.58073,0.81968,0.72021,0.72729,0.32811,1.23825,2.60365,0.50142,0.94059,1.28592,0.0018416,0.0018416,0.0018416
18,63.3933,1.28137,3.09078,0.63984,1.00197,1.30577,0.77215,0.80773,0.84736,0.5095,0.67511,0.67358,0.62685,0.25925,1.23232,2.80649,0.50762,1.21823,1.3152,0.0018317,0.0018317,0.0018317
19,65.7832,1.25405,2.96649,0.63514,1.00371,1.27069,0.79198,0.81347,0.84355,0.53517,0.74856,0.74093,0.73638,0.35463,1.21273,2.35477,0.51432,1.00167,1.28754,0.0018218,0.0018218,0.0018218
20,68.172,1.30539,2.96169,0.63744,1.03374,1.29271,0.86332,0.8601,0.8914,0.59506,0.83016,0.78511,0.82259,0.40517,1.14469,2.28955,0.52187,0.82206,1.25517,0.0018119,0.0018119,0.0018119
21,70.6198,1.26318,2.91118,0.64832,1.01352,1.28526,0.85432,0.76684,0.87108,0.56397,0.82317,0.74773,0.8151,0.41067,1.15822,2.20481,0.51873,0.88352,1.25646,0.001802,0.001802,0.001802
22,73.065,1.27598,2.90694,0.63315,0.98706,1.28184,0.82963,0.82383,0.84665,0.56111,0.82094,0.78756,0.813,0.38062,1.12537,2.33473,0.52073,0.98256,1.24326,0.0017921,0.0017921,0.0017921
23,75.408,1.27402,2.91561,0.63638,0.97218,1.26509,0.8198,0.75648,0.83978,0.52344,0.82501,0.6943,0.73863,0.36758,1.16572,2.60141,0.51966,1.04027,1.25624,0.0017822,0.0017822,0.0017822
24,77.7426,1.23632,2.75058,0.63594,0.96093,1.25676,0.88704,0.73575,0.85048,0.55581,0.80086,0.64597,0.71572,0.35174,1.21843,2.74487,0.52975,0.87826,1.28412,0.0017723,0.0017723,0.0017723
25,80.0307,1.21018,2.74795,0.64145,0.94608,1.25576,0.85722,0.7513,0.85478,0.5807,0.8378,0.7226,0.79607,0.44116,1.16606,2.21411,0.53414,0.85819,1.25007,0.0017624,0.0017624,0.0017624
26,82.2653,1.2123,2.80149,0.64279,0.93343,1.26878,0.85461,0.84456,0.8953,0.59081,0.83108,0.79027,0.84312,0.47483,1.17827,1.95492,0.51924,0.82756,1.22774,0.0017525,0.0017525,0.0017525
27,84.6093,1.2118,2.65572,0.63073,0.9265,1.24862,0.8821,0.81406,0.89761,0.6068,0.859,0.79275,0.85882,0.43506,1.08835,1.88927,0.52169,0.7928,1.17751,0.0017426,0.0017426,0.0017426
28,87.1389,1.19486,2.70978,0.6368,0.948,1.24771,0.87267,0.85224,0.92494,0.60969,0.87482,0.79661,0.81456,0.4076,1.16681,1.9987,0.51068,0.79705,1.24917,0.0017327,0.0017327,0.0017327
29,89.5698,1.20932,2.67275,0.63665,0.92161,1.25058,0.92768,0.88601,0.93568,0.63466,0.88744,0.81699,0.84851,0.46273,1.11108,1.86817,0.51307,0.81004,1.22326,0.0017228,0.0017228,0.0017228
30,92.4368,1.18241,2.68205,0.63035,0.88066,1.22971,0.86009,0.89186,0.92384,0.60616,0.82935,0.81865,0.83713,0.47232,1.04836,1.88246,0.52434,0.84803,1.1823,0.0017129,0.0017129,0.0017129
31,98.7626,1.20565,2.57177,0.63558,0.91528,1.25331,0.89229,0.86528,0.92888,0.62288,0.84955,0.82383,0.8715,0.5155,1.07762,1.79571,0.52521,0.75699,1.19028,0.001703,0.001703,0.001703
