epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6891,1.71408,7.19213,0.7163,2.40407,1.65974,0.64421,0.69106,0.71514,0.39243,0.00753,0.05691,0.00248,0.00031,1.25937,7.39443,0.70877,2.33781,1.30017,0.00058,0.00058,0.00058
2,17.4271,1.44105,6.16333,0.72853,1.32142,1.40254,0.53032,0.64634,0.56976,0.29071,0.08126,0.10569,0.01628,0.00217,1.49047,6.28226,0.71916,1.72276,1.50529,0.00117533,0.00117533,0.00117533
3,20.9521,1.48016,5.50254,0.72796,1.31839,1.43669,0.5726,0.60163,0.5923,0.29268,0.30722,0.30894,0.18802,0.03345,1.56158,5.10766,0.72191,2.3009,1.63344,0.0017659,0.0017659,0.0017659
4,24.5348,1.44921,4.92025,0.70372,1.26033,1.41989,0.5773,0.54065,0.5822,0.2847,0.28148,0.33333,0.17941,0.03942,1.73645,5.1597,0.68504,2.07719,1.86604,0.00197624,0.00197624,0.00197624
5,28.3446,1.44461,4.61357,0.68743,1.24999,1.3901,0.437,0.47014,0.39928,0.20358,0.22522,0.29268,0.11149,0.0247,1.70909,5.11201,0.64482,1.96173,1.61771,0.00196832,0.00196832,0.00196832
6,31.828,1.47675,4.29263,0.66966,1.23572,1.40321,0.57174,0.56911,0.55564,0.31159,0.2636,0.50056,0.21243,0.05396,1.4181,4.31132,0.60771,1.81417,1.47276,0.0019604,0.0019604,0.0019604
7,34.087,1.4577,4.04077,0.65759,1.21274,1.40058,0.66521,0.63002,0.65652,0.34795,0.46662,0.43496,0.3159,0.08397,1.46591,3.98966,0.56202,1.4929,1.47312,0.00195248,0.00195248,0.00195248
8,37.8983,1.47196,4.11528,0.65909,1.24698,1.44245,0.75101,0.67886,0.72373,0.4036,0.66966,0.52033,0.51065,0.18092,1.42524,3.60303,0.55169,1.32136,1.38961,0.00194456,0.00194456,0.00194456
9,41.7535,1.41171,3.78968,0.65473,1.23262,1.38915,0.68348,0.68293,0.7226,0.40371,0.50631,0.55691,0.4369,0.14404,1.38886,3.47977,0.5524,1.3492,1.38551,0.00193664,0.00193664,0.00193664
10,45.873,1.33185,3.75595,0.6489,1.14332,1.32726,0.70108,0.78178,0.78012,0.48321,0.58796,0.63008,0.50678,0.17088,1.26458,3.28019,0.52482,1.26125,1.30659,0.00192872,0.00192872,0.00192872
11,49.2533,1.36429,3.72064,0.64786,1.19018,1.37424,0.74122,0.7561,0.80169,0.46592,0.56986,0.5813,0.50936,0.15946,1.34211,3.16317,0.52212,1.12465,1.38391,0.0019208,0.0019208,0.0019208
12,53.1278,1.35385,3.50073,0.63876,1.1338,1.36067,0.79237,0.72358,0.80779,0.50272,0.66773,0.60976,0.5945,0.20405,1.28893,3.06474,0.54233,1.25491,1.3492,0.00191288,0.00191288,0.00191288
13,56.8769,1.28556,3.46575,0.64897,1.10254,1.32868,0.80092,0.73984,0.8204,0.51263,0.72391,0.65854,0.68686,0.29864,1.25786,2.75945,0.5461,1.30009,1.32508,0.00190496,0.00190496,0.00190496
14,61.1703,1.30106,3.39995,0.64572,1.0989,1.32426,0.86431,0.75203,0.85133,0.54772,0.78929,0.70732,0.76331,0.29429,1.18962,2.7494,0.53343,1.12883,1.24387,0.00189704,0.00189704,0.00189704
15,65.4041,1.28812,3.33759,0.65152,1.06655,1.30518,0.77486,0.76016,0.79628,0.50026,0.71515,0.65319,0.65616,0.26765,1.20119,2.80145,0.54983,1.19084,1.2662,0.00188912,0.00188912,0.00188912
16,67.6118,1.27503,3.41,0.65239,1.08765,1.31842,0.84118,0.78455,0.87232,0.54093,0.77633,0.60669,0.67477,0.30469,1.24533,2.74158,0.52645,0.99133,1.30426,0.0018812,0.0018812,0.0018812
17,71.8128,1.3021,3.38238,0.64032,1.07291,1.32422,0.85373,0.83041,0.87537,0.56342,0.76811,0.7271,0.71413,0.31369,1.24097,2.56467,0.53173,0.9966,1.27386,0.00187328,0.00187328,0.00187328
