epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4867,1.95968,7.36786,0.71914,3.43292,1.87066,0.53399,0.65753,0.61129,0.32659,0.01461,0.0137,0.00152,0.00019,1.42515,7.48181,0.70748,3.18282,1.38998,0.00032,0.00032,0.00032
2,14.4413,1.46253,6.6259,0.72462,1.37837,1.39314,0.59001,0.61644,0.67758,0.3388,0.01465,0.0411,0.00343,0.00036,1.57301,7.22295,0.70711,1.97465,1.5072,0.000653466,0.000653466,0.000653466
3,16.6689,1.48687,6.04158,0.74071,1.27198,1.37041,0.61945,0.63014,0.61257,0.29708,0.12146,0.15068,0.031,0.00505,1.73476,6.22049,0.74345,1.76966,1.70916,0.0009802,0.0009802,0.0009802
4,18.781,1.46777,5.45395,0.75029,1.2265,1.38481,0.3159,0.60959,0.30342,0.14327,0.14062,0.26027,0.05917,0.00897,1.70438,6.0375,0.76783,2.22599,1.70126,0.0013002,0.0013002,0.0013002
5,20.7283,1.44788,4.88746,0.73628,1.19766,1.36677,0.5024,0.4589,0.44683,0.24614,0.24877,0.20641,0.11382,0.02287,1.66609,5.60808,0.7468,1.6858,1.60857,0.00161347,0.00161347,0.00161347
6,22.594,1.45816,4.76455,0.72154,1.24947,1.40504,0.66788,0.49587,0.61445,0.31251,0.38541,0.30067,0.22549,0.05038,1.55122,5.11285,0.77711,1.7033,1.59384,0.001901,0.001901,0.001901
7,24.5921,1.50225,4.57208,0.71032,1.23169,1.40359,0.65208,0.69178,0.66495,0.33499,0.28281,0.35616,0.17495,0.04174,1.54524,4.94423,0.7435,1.74273,1.5679,0.0018812,0.0018812,0.0018812
8,28.8554,1.45549,4.34016,0.69376,1.18893,1.36748,0.6426,0.68966,0.66584,0.37122,0.34865,0.38356,0.24455,0.05344,1.48166,4.42362,0.71282,1.97143,1.46755,0.0018614,0.0018614,0.0018614
9,30.6355,1.35485,4.15366,0.6856,1.1492,1.34491,0.66847,0.74658,0.75004,0.40765,0.5142,0.58904,0.47421,0.14136,1.50711,3.74868,0.65169,1.63278,1.5244,0.0018416,0.0018416,0.0018416
10,32.788,1.39985,4.00177,0.68175,1.10715,1.33907,0.71773,0.67924,0.72976,0.35595,0.53481,0.45673,0.40468,0.09933,1.6721,4.22492,0.62759,1.60652,1.58601,0.0018218,0.0018218,0.0018218
11,34.9671,1.34308,3.89695,0.67548,1.10239,1.32172,0.8149,0.71918,0.83951,0.49288,0.73729,0.65068,0.66488,0.21358,1.40449,3.53264,0.60258,1.3282,1.37666,0.001802,0.001802,0.001802
12,37.0393,1.35712,3.77432,0.65603,1.09609,1.30647,0.68403,0.81553,0.80595,0.45164,0.60434,0.67123,0.55949,0.18218,1.35671,3.41901,0.59493,1.32157,1.33196,0.0017822,0.0017822,0.0017822
