epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,75.8839,1.24571,3.0355,0.65102,0.99266,1.26132,0.85162,0.73288,0.79419,0.49124,0.82322,0.70172,0.71515,0.33842,1.29753,2.51922,0.55445,0.99591,1.34877,0.0017426,0.0017426,0.0017426
28,81.0797,1.23833,2.84621,0.64851,0.96787,1.26662,0.78694,0.80822,0.8616,0.54293,0.76621,0.78767,0.79082,0.37358,1.27125,2.38234,0.54473,1.07526,1.33859,0.0017327,0.0017327,0.0017327
29,83.3587,1.25379,2.83241,0.64655,1.00775,1.27768,0.86049,0.81507,0.87153,0.54506,0.80292,0.75341,0.7711,0.38693,1.24163,2.34497,0.53873,0.91981,1.30156,0.0017228,0.0017228,0.0017228
30,85.5294,1.21341,2.74122,0.64487,0.92305,1.25145,0.82093,0.81643,0.88641,0.55043,0.81663,0.73288,0.76883,0.36411,1.23866,2.28866,0.5428,0.89016,1.31192,0.0017129,0.0017129,0.0017129
31,87.9551,1.23764,2.8605,0.6458,0.93662,1.25563,0.7763,0.83192,0.84896,0.5275,0.71984,0.76712,0.74849,0.34288,1.24328,2.55467,0.54493,0.95402,1.30975,0.001703,0.001703,0.001703
32,89.97,1.23832,2.72947,0.64891,0.97807,1.28579,0.89619,0.76874,0.89519,0.5849,0.91369,0.76027,0.85549,0.47426,1.18193,2.06119,0.55315,0.88244,1.22641,0.0016931,0.0016931,0.0016931
33,92.2537,1.20489,2.58887,0.64935,0.9356,1.2637,0.82703,0.80822,0.88103,0.57366,0.7979,0.78421,0.82718,0.45956,1.19442,2.13854,0.55674,0.89268,1.26934,0.0016832,0.0016832,0.0016832
34,94.7602,1.23443,2.62834,0.63685,0.94094,1.27042,0.83527,0.82192,0.85536,0.54629,0.78687,0.76712,0.77585,0.40945,1.22303,2.22423,0.56163,0.98532,1.28091,0.0016733,0.0016733,0.0016733
35,97.1366,1.19545,2.52402,0.63475,0.90754,1.2284,0.8764,0.77397,0.90685,0.58405,0.88579,0.73973,0.82076,0.46268,1.16696,1.92184,0.55377,0.95433,1.22976,0.0016634,0.0016634,0.0016634
36,99.3441,1.1587,2.512,0.64175,0.88499,1.22903,0.89734,0.77832,0.899,0.57972,0.86955,0.80822,0.85891,0.45283,1.2291,2.06286,0.55318,0.99332,1.2808,0.0016535,0.0016535,0.0016535
37,101.537,1.20065,2.50784,0.64322,0.88458,1.23662,0.87488,0.8142,0.88286,0.56674,0.88176,0.77397,0.81613,0.45045,1.22641,2.14164,0.55651,0.87764,1.31681,0.0016436,0.0016436,0.0016436
38,103.625,1.20209,2.41742,0.63618,0.89739,1.27182,0.85357,0.87841,0.89638,0.56461,0.80365,0.78082,0.79374,0.393,1.24196,2.19542,0.54524,0.862,1.33264,0.0016337,0.0016337,0.0016337
39,106.072,1.1911,2.5902,0.64136,0.87758,1.23634,0.8517,0.80822,0.90745,0.5826,0.80407,0.81507,0.84804,0.46131,1.22979,2.02792,0.55021,0.83555,1.3105,0.0016238,0.0016238,0.0016238
40,108.093,1.20059,2.44069,0.6409,0.88289,1.23876,0.8512,0.84932,0.90869,0.58436,0.87149,0.78961,0.83721,0.46533,1.20959,1.92091,0.54485,0.84309,1.29916,0.0016139,0.0016139,0.0016139
41,110.036,1.13672,2.41799,0.63723,0.88853,1.23512,0.92167,0.84247,0.91266,0.57883,0.8805,0.8075,0.83844,0.42564,1.24703,2.14545,0.54037,0.80888,1.32814,0.001604,0.001604,0.001604
42,111.959,1.15789,2.47869,0.63899,0.84879,1.2335,0.81544,0.85616,0.88838,0.57812,0.82193,0.84247,0.85507,0.46368,1.19385,1.99512,0.55087,0.83834,1.25181,0.0015941,0.0015941,0.0015941
43,116.839,1.12929,2.4657,0.6368,0.86848,1.20792,0.88027,0.75534,0.85914,0.54472,0.88041,0.75634,0.83605,0.45905,1.24346,2.03558,0.551,0.93474,1.28128,0.0015842,0.0015842,0.0015842
44,119.045,1.17607,2.4281,0.63895,0.88829,1.2303,0.88198,0.85616,0.91096,0.58253,0.86201,0.84247,0.86469,0.48889,1.16476,1.92032,0.54213,0.84879,1.23837,0.0015743,0.0015743,0.0015743
45,120.999,1.12518,2.35382,0.63665,0.86279,1.21398,0.92236,0.89512,0.93723,0.60382,0.89824,0.89041,0.88394,0.45874,1.14291,1.85912,0.54049,0.82399,1.2594,0.0015644,0.0015644,0.0015644
46,123.013,1.11703,2.2155,0.63899,0.8346,1.19694,0.90523,0.86986,0.9392,0.60003,0.9007,0.86973,0.88151,0.51939,1.19258,1.71804,0.5461,0.75822,1.22408,0.0015545,0.0015545,0.0015545
47,124.956,1.10688,2.25224,0.63303,0.79837,1.18677,0.88734,0.84932,0.9266,0.61647,0.87015,0.82618,0.86712,0.50298,1.12204,1.83104,0.55551,0.76068,1.19584,0.0015446,0.0015446,0.0015446
48,127.264,1.15029,2.28688,0.63279,0.84645,1.20602,0.90375,0.87671,0.92931,0.63338,0.87833,0.84932,0.85168,0.47854,1.05804,1.82702,0.55264,0.74682,1.18,0.0015347,0.0015347,0.0015347
